"Monster","Name","Description","Type","Tier","Comp%"
"Kree'arra","Swoop No More","Kill Kree'arra in a private instance without taking any melee damage from the boss or his bodyguards.","Perfection","Master (5 pts)","5.3%"
"Leviathan","Serpentine Solo","Kill the Leviathan without stunning the boss more than once.","Mechanical","Master (5 pts)","7.9%"
"Leviathan","Leviathan Speed-Chaser","Kill the Leviathan in less than 1:25 without a slayer task.","Speed","Master (5 pts)","3%"
"Leviathan","Leviathan Master","Kill the Leviathan 50 times.","Kill Count","Master (5 pts)","6.2%"
"Leviathan","Perfect Leviathan","Kill the Leviathan perfectly 5 times without leaving.","Perfection","Master (5 pts)","3.3%"
"Maggot King","Digging in","Kill the Maggot King without moving more than 40 tiles.","Restriction","Master (5 pts)","N/A"
"Maggot King","King-sized clobbering","Kill the Maggot King without missing a single melee punish.","Mechanical","Master (5 pts)","N/A"
"Maggot King","Cordoned Off","Kill the Maggot King without moving beyond the back row of tiles.","Restriction","Master (5 pts)","N/A"
"Maggot King","Perfect Maggot King","Kill the Maggot King without taking any avoidable damage or him ever being healed.","Perfection","Master (5 pts)","N/A"
"Maggot King","Camping the King","Kill the Maggot King 12 times without leaving the arena.","Stamina","Master (5 pts)","N/A"
"Nex","There is no escape!","Kill Nex without anyone being hit by the Smoke Dash special attack.","Mechanical","Master (5 pts)","15.8%"
"Nex","Contain this!","Kill Nex without anyone taking damage from any Ice special attack.","Mechanical","Master (5 pts)","15.6%"
"Nex","A siphon will solve this","Kill Nex without letting her heal from her Blood Siphon special attack.","Mechanical","Master (5 pts)","14.5%"
"Nex","Nex Trio","Kill Nex with three or less players at the start of the fight.","Restriction","Master (5 pts)","5.6%"
"Nex","Nex Master","Kill Nex 25 times.","Kill Count","Master (5 pts)","12.7%"
"Nex","Shadows Move...","Kill Nex without anyone being hit by the Shadow Smash attack.","Mechanical","Master (5 pts)","15.6%"
"Phantom Muspah","Space is Tight","Kill the Phantom Muspah whilst it is surrounded by spikes.","Mechanical","Master (5 pts)","12.4%"
"Phantom Muspah","Phantom Muspah Speed-Chaser","Kill the Phantom Muspah in less than 2 minutes without a slayer task.","Speed","Master (5 pts)","5.3%"
"Phantom Muspah","More than just a ranged weapon","Kill the Phantom Muspah by only dealing damage to it with a salamander.","Restriction","Master (5 pts)","4.4%"
"Phantom Muspah","Essence Farmer","Kill the Phantom Muspah 10 times in one trip.","Stamina","Master (5 pts)","6.2%"
"Phantom Muspah","Walk Straight Pray True","Kill the Phantom Muspah without taking any avoidable damage.","Perfection","Master (5 pts)","15%"
"Phantom Muspah","Phantom Muspah Master","Kill the Phantom Muspah 50 times.","Kill Count","Master (5 pts)","14.3%"
"Phosani's Nightmare","Phosani's Speedchaser","Kill Phosani's Nightmare within 7 minutes and 30 seconds.","Speed","Master (5 pts)","4.2%"
"Phosani's Nightmare","I Would Simply React","Kill Phosani's Nightmare without allowing your prayer to be disabled.","Mechanical","Master (5 pts)","4.2%"
"Phosani's Nightmare","Crush Hour","Kill Phosani's Nightmare while killing every parasite and husk in one hit.","Mechanical","Master (5 pts)","4.5%"
"Phosani's Nightmare","Phosani's Master","Kill Phosani's Nightmare 5 times.","Kill Count","Master (5 pts)","4.7%"
"Phosani's Nightmare","Dreamland Express","Kill Phosani's Nightmare without a sleepwalker reaching her during her desperation phase.","Mechanical","Master (5 pts)","4.4%"
"Skotizo","Precise Positioning","Kill Skotizo with the final source of damage being a Chinchompa explosion.","Restriction","Master (5 pts)","14.1%"
"The Hueycoatl","Is it a bird?","Kill the Hueycoatl using only dragonbane weaponry.","Restriction","Master (5 pts)","11.3%"
"The Hueycoatl","Hueycoatl Speed-Chaser","Kill the Hueycoatl in 2:30 with five or fewer players.","Speed","Master (5 pts)","8%"
"The Nightmare","Nightmare (Solo) Speed-Chaser","Defeat the Nightmare (Solo) in less than 19 minutes.","Speed","Master (5 pts)","2.3%"
"The Nightmare","Perfect Nightmare","Kill the Nightmare without any player taking damage from the following attacks: Nightmare rifts, an un-cured parasite explosion, Corpse flowers or the Nightmare's Surge. Also, no player can take damage off prayer or have their attacks slowed by the Nightmare spores.","Perfection","Master (5 pts)","1.9%"
"The Nightmare","Nightmare (5-Scale) Speed-Chaser","Defeat the Nightmare (5-scale) in less than 4 minutes.","Speed","Master (5 pts)","2.5%"
"The Nightmare","Nightmare Master","Kill The Nightmare 50 times.","Kill Count","Master (5 pts)","5.2%"
"Theatre of Blood","Theatre (5-Scale) Speed-Chaser","Complete the Theatre of Blood (5-scale) in less than 16 minutes.","Speed","Master (5 pts)","2.2%"
"Theatre of Blood","Two-Down","Kill the Pestilent Bloat before he shuts down for the third time.","Mechanical","Master (5 pts)","9.4%"
"Theatre of Blood","Pop It","Kill Verzik without any Nylocas being frozen and without anyone taking damage from the Nylocas.","Mechanical","Master (5 pts)","3.8%"
"Theatre of Blood","Perfect Maiden","Kill The Maiden of Sugadinti without anyone in the team taking damage from the following sources: Blood Spawn projectiles and Blood Spawn trails. Also, without taking damage off prayer and without letting any of the Nylocas Matomenos heal The Maiden.","Perfection","Master (5 pts)","4.3%"
"Theatre of Blood","Perfect Verzik","Defeat Verzik Vitur without anyone in the team taking damage from Verzik Vitur's attacks other than her spider form's correctly prayed against regular magical and ranged attacks.","Perfection","Master (5 pts)","1.1%"
"Theatre of Blood","A Timely Snack","Kill Sotetseg after surviving at least 3 ball attacks without sharing the damage and without anyone dying throughout the fight.","Mechanical","Master (5 pts)","3.7%"
"Theatre of Blood","Perfect Sotetseg","Kill Sotetseg without anyone in the team stepping on the wrong tile in the maze, without getting hit by the tornado and without taking any damage from Sotetseg's attacks whilst off prayer.","Perfection","Master (5 pts)","4.3%"
"Theatre of Blood","Can You Dance?","Kill Xarpus without anyone in the team using a ranged or magic weapon.","Restriction","Master (5 pts)","5.5%"
"Theatre of Blood","Perfect Xarpus","Kill Xarpus without anyone in the team taking any damage from Xarpus' attacks and without letting an exhumed heal Xarpus more than twice.","Perfection","Master (5 pts)","2.2%"
"Theatre of Blood","Theatre (4-Scale) Speed-Chaser","Complete the Theatre of Blood (4-scale) in less than 17 minutes.","Speed","Master (5 pts)","3.3%"
"Theatre of Blood","Back in My Day...","Complete the Theatre of Blood without any member of the team equipping a Scythe of Vitur.","Restriction","Master (5 pts)","5%"
"Theatre of Blood","Theatre (Trio) Speed-Chaser","Complete the Theatre of Blood (Trio) in less than 20 minutes.","Speed","Master (5 pts)","4%"
"Theatre of Blood","Perfect Nylocas","Kill the Nylocas Vasilias without anyone in the team attacking any Nylocas with the wrong attack style, without letting a pillar collapse and without getting hit by any of the Nylocas Vasilias attacks whilst off prayer.","Perfection","Master (5 pts)","2.4%"
"Theatre of Blood","Theatre of Blood Master","Complete the Theatre of Blood 75 times.","Kill Count","Master (5 pts)","5.5%"
"Theatre of Blood","Can't Drain This","Kill The Maiden of Sugadinti without anyone in the team losing any prayer points.","Restriction","Master (5 pts)","2.4%"
"Theatre of Blood","Perfect Bloat","Kill the Pestilent Bloat without anyone in the team taking damage from the following sources: Pestilent flies, Falling body parts or The Pestilent Bloats stomp attack.","Perfection","Master (5 pts)","6.1%"
"Theatre of Blood: Entry Mode","Theatre of Blood: SM Speed-Chaser","Complete the Theatre of Blood: Entry Mode in less than 17 minutes.","Speed","Master (5 pts)","7%"
"Theatre of Blood: Hard Mode","Hard Mode? Completed It","Complete the Theatre of Blood: Hard Mode within the challenge time.","Speed","Master (5 pts)","3.4%"
"Tombs of Amascut","Tombs Speed Runner","Complete the Tombs of Amascut (normal) within 18 mins at any group size.","Speed","Master (5 pts)","1.7%"
"Tombs of Amascut","Perfect Akkha","Complete Akkha in a group of two or more, without anyone taking any damage from the following: Akkha's attacks off-prayer, Akkha's special attacks (orbs, memory, detonate), exploding shadow timers, orbs in the enrage phase or attacking Akkha with the wrong style. You must have all Akkha invocations activated.","Perfection","Master (5 pts)","1.8%"
"Tombs of Amascut","Better get movin'","Defeat Elidinis' Warden in phase three of the Wardens fight with 'Aerial Assault', 'Stay vigilant' and 'Insanity' invocations activated and without dying yourself.","Mechanical","Master (5 pts)","13.3%"
"Tombs of Amascut","You are not prepared","Complete a full Tombs of Amascut raid only using supplies given inside the tomb and without anyone dying.","Restriction","Master (5 pts)","5%"
"Tombs of Amascut","Tomb Looter","Complete the Tombs of Amascut 25 times.","Kill Count","Master (5 pts)","18.6%"
"Tombs of Amascut","Perfect Zebak","Defeat Zebak without anyone taking any damage from: poison, Zebak's basic attacks off-prayer, blood spawns and waves. You also must not push more than two jugs on the roar attack during the fight (you may destroy stationary ones). You must have all Zebak invocations activated.","Perfection","Master (5 pts)","11.1%"
"Tombs of Amascut","Chompington","Defeat Zebak using only melee attacks and without dying yourself.","Mechanical","Master (5 pts)","6.8%"
"Tombs of Amascut","Perfect Wardens","Defeat The Wardens in a group of two or more, without anyone taking avoidable damage from the following: Warden attacks, obelisk attacks, lightning attacks in phase three, skull attack in phase three, Demi god attacks in phase three. You must have all Wardens invocations activated.","Perfection","Master (5 pts)","1.6%"
"Tombs of Amascut","Tomb Raider","Complete the Tombs of Amascut 50 times.","Kill Count","Master (5 pts)","14.6%"
"Tombs of Amascut","Perfect Scabaras","Complete the Scabaras room in less than a minute without anyone taking any damage from puzzles.","Perfection","Master (5 pts)","24.4%"
"Tombs of Amascut","Perfect Kephri","Defeat Kephri in a group of two or more, without anyone taking any damage from the following: egg explosions, Kephri's attacks, Exploding Scarabs, Bodyguards, dung attacks. No eggs may hatch throughout the fight.","Perfection","Master (5 pts)","5.8%"
"Tombs of Amascut","Perfect Ba-Ba","Defeat Ba-Ba in a group of two or more, without anyone taking any damage from the following: Ba-Ba's Attacks off-prayer, Ba-Ba's slam, rolling boulders, rubble attack or falling rocks. No sarcophagi may be opened. You must have all Ba-Ba invocations activated.","Perfection","Master (5 pts)","6%"
"Tombs of Amascut: Expert Mode","Warden't you believe it","Defeat the Wardens with all Wardens invocations activated, at expert level and without dying yourself.","Mechanical","Master (5 pts)","13.4%"
"Tombs of Amascut: Expert Mode","Ba-Bananza","Defeat Ba-Ba with all Ba-Ba invocations activated and the path levelled up to at least four, without dying yourself.","Mechanical","Master (5 pts)","7%"
"Tombs of Amascut: Expert Mode","Rockin' around the croc","Defeat Zebak with all Zebak invocations activated and the path levelled up to at least four, without dying yourself.","Mechanical","Master (5 pts)","5.4%"
"Tombs of Amascut: Expert Mode","Expert Tomb Looter","Complete the Tombs of Amascut (Expert mode) 25 times.","Kill Count","Master (5 pts)","11.7%"
"Tombs of Amascut: Expert Mode","Doesn't bug me","Defeat Kephri with all Kephri invocations activated and the path levelled up to at least four, without dying yourself.","Mechanical","Master (5 pts)","2.2%"
"Tombs of Amascut: Expert Mode","Resourceful Raider","Complete the Tombs of Amascut with the ""On a diet"" and ""Dehydration"" invocations activated and without anyone dying.","Restriction","Master (5 pts)","5.2%"
"Tombs of Amascut: Expert Mode","All out of medics","Defeat Kephri without letting her heal above 25% after the first down. The 'Medic' invocation must be activated. You must do this without dying yourself.","Mechanical","Master (5 pts)","4.6%"
"Tombs of Amascut: Expert Mode","But... Damage","Complete the Tombs of Amascut without anyone in your party wearing or holding any equipment at tier 75 or above.","Restriction","Master (5 pts)","2.6%"
"Tombs of Amascut: Expert Mode","Something of an expert myself","Complete the Tombs of Amascut raid at level 350 or above without anyone dying.","Mechanical","Master (5 pts)","13.7%"
"Tombs of Amascut: Expert Mode","Fancy feet","Complete phase three of The Wardens in a group of two or more, using only melee attacks and without dying yourself. The 'Insanity' invocation must be activated.","Restriction","Master (5 pts)","2.3%"
"Tormented Demon","Three Times the Thrashing","Kill three Tormented Demons within 3 seconds.","Restriction","Master (5 pts)","2.5%"
"TzHaar-Ket-Rak's Challenges","Multi-Style Specialist","Complete TzHaar-Ket-Rak's third challenge while using a different attack style for each JalTok-Jad.","Mechanical","Master (5 pts)","3.3%"
"TzHaar-Ket-Rak's Challenges","TzHaar-Ket-Rak's Speed-Chaser","Complete TzHaar-Ket-Rak's third challenge in less than 3 minutes.","Speed","Master (5 pts)","2.8%"
"TzHaar-Ket-Rak's Challenges","The IV Jad Challenge","Complete TzHaar-Ket-Rak's fourth challenge.","Kill Count","Master (5 pts)","4%"
"TzHaar-Ket-Rak's Challenges","Facing Jad Head-on IV","Complete TzHaar-Ket-Rak's fourth challenge with only melee.","Restriction","Master (5 pts)","2.7%"
"TzHaar-Ket-Rak's Challenges","Supplies? Who Needs 'em?","Complete TzHaar-Ket-Rak's third challenge without having anything in your inventory.","Perfection","Master (5 pts)","2.9%"
"TzKal-Zuk","Nibblers, Begone!","Kill Tzkal-Zuk without letting a pillar fall before wave 67.","Perfection","Master (5 pts)","4.9%"
"TzTok-Jad","Fight Caves Speed-Chaser","Complete the Fight Caves in less than 30 minutes.","Speed","Master (5 pts)","3.7%"
"TzTok-Jad","You Didn't Say Anything About a Bat","Complete the Fight Caves without being attacked by a Tz-Kih.","Mechanical","Master (5 pts)","7.9%"
"TzTok-Jad","Denying the Healers","Complete the Fight caves without letting any of the Yt-MejKot heal.","Mechanical","Master (5 pts)","14.9%"
"TzTok-Jad","Fight Caves Master","Complete the Fight Caves 5 times.","Kill Count","Master (5 pts)","16.5%"
"Vardorvis","Budget Cutter","Kill Vardorvis with gear worth 2m or less in total.","Restriction","Master (5 pts)","6%"
"Vardorvis","Vardorvis Speed-Chaser","Kill Vardorvis in less than 1:05 without a slayer task.","Speed","Master (5 pts)","7.2%"
"Vardorvis","Vardorvis Master","Kill Vardorvis 50 times.","Kill Count","Master (5 pts)","10.8%"
"Vardorvis","Perfect Vardorvis","Kill Vardorvis perfectly 5 times without leaving.","Perfection","Master (5 pts)","6.2%"
"Vorkath","Vorkath Master","Kill Vorkath 100 times.","Kill Count","Master (5 pts)","25.6%"
"Vorkath","Extended Encounter","Kill Vorkath 10 times without leaving his area.","Stamina","Master (5 pts)","4.8%"
"Vorkath","Dodging the Dragon","Kill Vorkath 5 times without taking any damage from his special attacks and without leaving his area.","Perfection","Master (5 pts)","6.9%"
"Vorkath","Vorkath Speed-Chaser","Kill Vorkath in less than 1 minute and 15 seconds.","Speed","Master (5 pts)","14.5%"
"Vorkath","The Walk","Hit Vorkath 12 times during the acid special without getting hit by his rapid fire or the acid pools.","Mechanical","Master (5 pts)","7.6%"
"Whisperer","Perfect Whisperer","Kill the Whisperer without taking avoidable damage 5 times without leaving.","Perfection","Master (5 pts)","3.7%"
"Whisperer","Whisperer Master","Kill the Whisperer 50 times.","Kill Count","Master (5 pts)","5.5%"
"Whisperer","Whisperer Speed-Chaser","Kill the Whisperer in less than 2:25 without a slayer task.","Speed","Master (5 pts)","3.1%"
"Yama","Shadow dancer","Defeat Yama without getting hit by shadows and without being more than one tile away from the center of his shadow crash attack.","Mechanical","Master (5 pts)","8.7%"
"Yama","No toppings, no drinks, thanks","Defeat Yama without anybody healing using anything other than plain pizza and without anybody drinking any potions.","Restriction","Master (5 pts)","4.1%"
"Yama","Fire fighter","Defeat Yama without getting hit by fire and having only killed void flares with special attacks.","Mechanical","Master (5 pts)","10.1%"
"Yama","Yama Speed-Chaser","Defeat Yama in an average time of under 3:00 over your last four kills.","Speed","Master (5 pts)","3.1%"
"Yama","Yama Veteran","Defeat Yama 50 times.","Kill Count","Master (5 pts)","9.6%"
"Zulrah","Zulrah Speed-Chaser","Kill Zulrah in less than 1 minute, without a slayer task.","Speed","Master (5 pts)","12.9%"
"Zulrah","Perfect Zulrah","Kill Zulrah whilst taking no damage from the following: Snakelings, Venom Clouds, Zulrah's Green or Crimson phase.","Perfection","Master (5 pts)","10.5%"
"Zulrah","Zulrah Master","Kill Zulrah 150 times.","Kill Count","Master (5 pts)","22%"
"Alchemical Hydra","Alchemical Speed-Runner","Kill the Alchemical Hydra in less than 1 minute 20 seconds.","Speed","Grandmaster (6 pts)","3.6%"
"Alchemical Hydra","No Pressure","Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.","Restriction","Grandmaster (6 pts)","4.9%"
"Araxxor","Araxxor Speed-Runner","Kill Araxxor 6 times in 10:00.","Speed","Grandmaster (6 pts)","5.3%"
"Araxxor","Perfect Araxxor 2","Kill Araxxor perfectly, without hitting it during the enrage phase.","Perfection","Grandmaster (6 pts)","5.1%"
"Araxxor","Swimming in Venom","Kill Araxxor without the boss ever moving.","Restriction","Grandmaster (6 pts)","12.8%"
"Chambers of Xeric","Chambers of Xeric (Solo) Speed-Runner","Complete a Chambers of Xeric (Solo) in less than 17 minutes.","Speed","Grandmaster (6 pts)","1.5%"
"Chambers of Xeric","Chambers of Xeric (5-Scale) Speed-Runner","Complete a Chambers of Xeric (5-scale) in less than 12 minutes and 30 seconds.","Speed","Grandmaster (6 pts)","1.8%"
"Chambers of Xeric","Chambers of Xeric Grandmaster","Complete the Chambers of Xeric 150 times.","Kill Count","Grandmaster (6 pts)","9.2%"
"Chambers of Xeric","Chambers of Xeric (Trio) Speed-Runner","Complete a Chambers of Xeric (Trio) in less than 14 minutes and 30 seconds.","Speed","Grandmaster (6 pts)","2.4%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (5-Scale) Speed-Runner","Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 25 minutes.","Speed","Grandmaster (6 pts)","1.6%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (Trio) Speed-Runner","Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 27 minutes.","Speed","Grandmaster (6 pts)","2.2%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM Grandmaster","Complete the Chambers of Xeric: Challenge Mode 25 times.","Kill Count","Grandmaster (6 pts)","5.3%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (Solo) Speed-Runner","Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 38 minutes and 30 seconds.","Speed","Grandmaster (6 pts)","1.4%"
"Commander Zilyana","Peach Conjurer","Kill Commander Zilyana 50 times in a privately rented instance without leaving the room.","Stamina","Grandmaster (6 pts)","3.1%"
"Commander Zilyana","Animal Whisperer","Kill Commander Zilyana in a private instance without taking any damage from the boss or bodyguards.","Perfection","Grandmaster (6 pts)","4.2%"
"Corrupted Hunllef","Corrupted Gauntlet Speed-Runner","Complete a Corrupted Gauntlet in less than 6 minutes and 5 seconds.","Speed","Grandmaster (6 pts)","2.1%"
"Corrupted Hunllef","Wolf Puncher II","Kill the Corrupted Hunllef without making more than one attuned weapon.","Restriction","Grandmaster (6 pts)","9.8%"
"Corrupted Hunllef","Corrupted Gauntlet Grandmaster","Complete the Corrupted Gauntlet 50 times.","Kill Count","Grandmaster (6 pts)","18%"
"Corrupted Hunllef","Egniol Diet II","Kill the Corrupted Hunllef without making an egniol potion within the Corrupted Gauntlet.","Restriction","Grandmaster (6 pts)","5.6%"
"Crystalline Hunllef","Gauntlet Speed-Runner","Complete the Gauntlet in less than 3 minutes and 45 seconds.","Speed","Grandmaster (6 pts)","1.8%"
"Doom of Mokhaiotl","Doom Racer","Defeat the Doom of Mokhaiotl levels 1-8 in less than 7:15.","Speed","Grandmaster (6 pts)","0.6%"
"Doom of Mokhaiotl","The Praying Mantis","Defeat the Doom of Mokhaiotl levels 1-8 without restoring your prayer points through any method.","Restriction","Grandmaster (6 pts)","1.1%"
"Doom of Mokhaiotl","Mopping up","Clear at least 8 acid splats in a single Volatile Earth special attack.","Mechanical","Grandmaster (6 pts)","2.7%"
"Doom of Mokhaiotl","Perfect Doom","Defeat the Doom of Mokhaiotl levels 1-8 without taking any damage from the boss, letting any grubs be absorbed, or stepping in acid blood.","Perfection","Grandmaster (6 pts)","1.1%"
"Doom of Mokhaiotl","Darkness Is Your Ally?","Defeat the Doom of Mokhaiotl levels 1-8 without equipping a demonbane weapon.","Restriction","Grandmaster (6 pts)","1.1%"
"Doom of Mokhaiotl","It's Dark Down Here","Defeat the Doom of Mokhaiotl at delve level 16.","Stamina","Grandmaster (6 pts)","1.5%"
"Doom of Mokhaiotl","Duel of Mokhaiotl","Defeat the Doom of Mokhaiotl levels 1-8 whilst only damaging the boss with one-handed melee attacks.","Restriction","Grandmaster (6 pts)","0.7%"
"Duke Sucellus","Duke Sucellus Speed-Runner","Kill Duke Sucellus in less than 40 seconds without a slayer task.","Speed","Grandmaster (6 pts)","4.1%"
"Duke Sucellus","Duke Sucellus Sleeper","Kill Awakened Duke Sucellus.","Kill Count","Grandmaster (6 pts)","2.5%"
"Duke Sucellus","Mirror Image","Kill Duke Sucellus whilst only attacking the boss on the same tick Duke attacks you.","Restriction","Grandmaster (6 pts)","3.8%"
"Fortis Colosseum","Colosseum Grand Champion","Defeat Sol Heredit 10 times.","Kill Count","Grandmaster (6 pts)","1.9%"
"Fortis Colosseum","Colosseum Speed-Runner","Complete the Colosseum with a total time of 24:00 or less.","Speed","Grandmaster (6 pts)","1.7%"
"Fortis Colosseum","Slow Dancing in the Sand","Defeat Sol Heredit without running during the fight with him.","Restriction","Grandmaster (6 pts)","1.2%"
"Fortis Colosseum","Reinforcements","Defeat Sol Heredit with ""Bees II"", ""Quartet"" and ""Solarflare II"" modifiers active.","Mechanical","Grandmaster (6 pts)","1%"
"Fortis Colosseum","Perfect Footwork","Defeat Sol Heredit without taking any damage from his Spear, Shield, Grapple or Triple Attack.","Perfection","Grandmaster (6 pts)","3.3%"
"General Graardor","Defence Matters","Kill General Graardor 2 times consecutively in a private instance without taking any damage from his bodyguards.","Perfection","Grandmaster (6 pts)","1.6%"
"General Graardor","Keep Away","Kill General Graardor in a private instance without taking any damage from the boss or bodyguards.","Perfection","Grandmaster (6 pts)","3.6%"
"General Graardor","Ourg Killer","Kill General Graardor 15 times in a private instance without leaving the room.","Stamina","Grandmaster (6 pts)","5.6%"
"Grotesque Guardians","Grotesque Guardians Speed-Runner","Kill the Grotesque Guardians in less than 1:20 minutes.","Speed","Grandmaster (6 pts)","5.2%"
"K'ril Tsutsaroth","Ash Collector","Kill K'ril Tsutsaroth 20 times in a private instance without leaving the room.","Stamina","Grandmaster (6 pts)","6%"
"K'ril Tsutsaroth","Demon Whisperer","Kill K'ril Tsutsaroth in a private instance without ever being hit by his bodyguards.","Perfection","Grandmaster (6 pts)","5.7%"
"Kree'arra","The Worst Ranged Weapon","Kill Kree'arra by only dealing damage to him with a salamander.","Restriction","Grandmaster (6 pts)","4.1%"
"Kree'arra","Feather Hunter","Kill Kree'arra 30 times in a private instance without leaving the room.","Stamina","Grandmaster (6 pts)","2.8%"
"Leviathan","Leviathan Sleeper","Kill the Awakened Leviathan.","Kill Count","Grandmaster (6 pts)","2.4%"
"Leviathan","Leviathan Speed-Runner","Kill the Leviathan in less than 1:10 without a slayer task.","Speed","Grandmaster (6 pts)","2.1%"
"Leviathan","Unconventional","Kill the Leviathan using only Mithril ammunition whilst having no more than 25 Hitpoints throughout the entire fight.","Restriction","Grandmaster (6 pts)","2.4%"
"Maggot King","Maggot King Speed Chaser","Complete the first 5 kills of the Maggot King within 9 minutes after entering the arena.","Speed","Grandmaster (6 pts)","N/A"
"Nex","Nex Duo","Kill Nex with two or less players at the start of the fight.","Restriction","Grandmaster (6 pts)","2.6%"
"Nex","Perfect Nex","Kill Nex whilst completing the requirements for ""There is no escape"", ""Shadows move"", ""A siphon will solve this"", and ""Contain this!""","Perfection","Grandmaster (6 pts)","11.8%"
"Nex","I should see a doctor","Kill Nex whilst a player is coughing.","Restriction","Grandmaster (6 pts)","10.9%"
"Phantom Muspah","Phantom Muspah Manipulator","Kill the Phantom Muspah whilst completing Walk Straight Pray True, Space is Tight & Can't Escape.","Perfection","Grandmaster (6 pts)","4%"
"Phantom Muspah","Phantom Muspah Speed-Runner","Kill the Phantom Muspah in less than 1 minute and 30 seconds without a slayer task.","Speed","Grandmaster (6 pts)","2%"
"Phosani's Nightmare","Perfect Phosani's Nightmare","Kill Phosani's Nightmare while only taking damage from husks, power blasts and weakened Parasites. Also, without having your attacks slowed by the Nightmare Spores or letting a Sleepwalker reach Phosani's Nightmare.","Perfection","Grandmaster (6 pts)","3%"
"Phosani's Nightmare","Can't Wake Up","Kill Phosani's Nightmare 5 times in a row without leaving Phosani's Dream.","Stamina","Grandmaster (6 pts)","2%"
"Phosani's Nightmare","Phosani's Speedrunner","Kill Phosani's Nightmare within 6 minutes.","Speed","Grandmaster (6 pts)","2.8%"
"Phosani's Nightmare","Phosani's Grandmaster","Kill Phosani's Nightmare 25 times.","Kill Count","Grandmaster (6 pts)","3.8%"
"The Hueycoatl","Hueycoatl Speed-Runner","Kill the Hueycoatl in 2:30 with three or fewer players.","Speed","Grandmaster (6 pts)","2.9%"
"The Nightmare","Nightmare (Solo) Speed-Runner","Defeat the Nightmare (Solo) in less than 16 minutes.","Speed","Grandmaster (6 pts)","1.5%"
"The Nightmare","Terrible Parent","Kill the Nightmare solo without the Parasites healing the boss for more than 100 health.","Mechanical","Grandmaster (6 pts)","1.7%"
"The Nightmare","A Long Trip","Kill the Nightmare without any player losing any prayer points.","Restriction","Grandmaster (6 pts)","1.8%"
"The Nightmare","Nightmare (5-Scale) Speed-Runner","Defeat the Nightmare (5-scale) in less than 3:30 minutes.","Speed","Grandmaster (6 pts)","1.8%"
"Theatre of Blood","Theatre of Blood Grandmaster","Complete the Theatre of Blood 150 times.","Kill Count","Grandmaster (6 pts)","4.2%"
"Theatre of Blood","Perfect Theatre","Complete the Theatre of Blood without anyone dying through any means and whilst everyone in the team completes the following Combat Achievement tasks in a single run: ""Perfect Maiden"", ""Perfect Bloat"", ""Perfect Nylocas"", ""Perfect Sotetseg"", ""Perfect Xarpus"" and ""Perfect Verzik"".","Perfection","Grandmaster (6 pts)","0.9%"
"Theatre of Blood","Theatre (4-Scale) Speed-Runner","Complete the Theatre of Blood (4-scale) in less than 15 minutes.","Speed","Grandmaster (6 pts)","1.1%"
"Theatre of Blood","Morytania Only","Complete the Theatre of Blood without any member of the team equipping a non-barrows weapon (except Dawnbringer).","Restriction","Grandmaster (6 pts)","1.4%"
"Theatre of Blood","Theatre (5-Scale) Speed-Runner","Complete the Theatre of Blood (5-scale) in less than 14 minutes and 15 seconds.","Speed","Grandmaster (6 pts)","1.1%"
"Theatre of Blood","Theatre (Duo) Speed-Runner","Complete the Theatre of Blood (Duo) in less than 26 minutes.","Speed","Grandmaster (6 pts)","1.3%"
"Theatre of Blood","Theatre (Trio) Speed-Runner","Complete the Theatre of Blood (Trio) in less than 17 minutes and 30 seconds.","Speed","Grandmaster (6 pts)","1.5%"
"Theatre of Blood: Hard Mode","Royal Affairs","In the Theatre of Blood: Hard Mode, complete the Nylocas room without ever letting the Nylocas Prinkipas change styles.","Mechanical","Grandmaster (6 pts)","1.6%"
"Theatre of Blood: Hard Mode","Theatre of Blood: HM Grandmaster","Complete the Theatre of Blood: Hard Mode 50 times.","Kill Count","Grandmaster (6 pts)","1.9%"
"Theatre of Blood: Hard Mode","Team Work Makes the Dream Work","When Verzik Vitur in the Theatre of Blood: Hard Mode uses her yellow power blast attack while the tornadoes are active, have everyone get through the attack without taking damage. This cannot be completed with one player alive","Mechanical","Grandmaster (6 pts)","2.6%"
"Theatre of Blood: Hard Mode","Harder Mode III","Defeat Verzik Vitur in the Theatre of Blood: Hard Mode without anyone attacking her with a melee weapon during her third phase.","Restriction","Grandmaster (6 pts)","1%"
"Theatre of Blood: Hard Mode","Nylo Sniper","Defeat Verzik Vitur's in the Theatre of Blood: Hard Mode without anyone in your team causing a Nylocas to explode by getting too close.","Mechanical","Grandmaster (6 pts)","1.2%"
"Theatre of Blood: Hard Mode","Personal Space","Defeat the Pestilent Bloat in the Theatre of Blood: Hard Mode with at least 3 people in the room, without anyone in your team standing on top of each other.","Mechanical","Grandmaster (6 pts)","1.1%"
